[2025-11-19 13:47:48] [FAIL] 688555.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\688555.csv
[2025-11-19 13:47:49] [FAIL] 002325.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002325.csv
[2025-11-19 13:47:51] [FAIL] 300297.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300297.csv
[2025-11-19 13:47:53] [FAIL] 000150.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000150.csv
[2025-11-19 13:47:53] [FAIL] 000413.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000413.csv
[2025-11-19 13:47:54] [FAIL] 000416.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000416.csv
[2025-11-19 13:47:54] [FAIL] 600466.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600466.csv
[2025-11-19 13:47:57] [FAIL] 002341.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002341.csv
[2025-11-19 13:47:58] [FAIL] 300309.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300309.csv
[2025-11-19 13:48:01] [FAIL] 000540.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000540.csv
[2025-11-19 13:48:03] [FAIL] 600647.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600647.csv
[2025-11-19 13:48:05] [FAIL] 002665.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002665.csv
[2025-11-19 13:48:06] [FAIL] 002699.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002699.csv
[2025-11-19 13:48:06] [FAIL] 300336.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300336.csv
[2025-11-19 13:48:09] [FAIL] 000587.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000587.csv
[2025-11-19 13:48:09] [FAIL] 000606.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000606.csv
